epoch,Training Loss,Valid. Loss,Valid. Accur.,Training Time,Validation Time,Precision,Recall,F1 Score
1,0.8115292735828841,0.7582214181461642,0.6582661290322581,0:00:24,0:00:03,0.7748673106358116,0.47755325364183854,0.5909203599643201
2,0.7253236428272626,0.6637828640880123,0.6693548387096774,0:00:24,0:00:03,0.7460347553563873,0.5352970449382616,0.6233361255401301
3,0.6353490576763784,0.5974758805767182,0.6844758064516129,0:00:24,0:00:03,0.7457742499962614,0.5774134047815763,0.6508828091523702
4,0.5956951101456792,0.5735898450497658,0.6844758064516129,0:00:25,0:00:03,0.7492259295627416,0.5704392244627441,0.647721669248372
5,0.5749121722111032,0.5572541990587788,0.7026209677419355,0:00:25,0:00:03,0.7609996089610092,0.6015928463271919,0.6719719003755997
6,0.557864537662711,0.5423374608639748,0.7247983870967742,0:00:25,0:00:03,0.770759998831115,0.6821357145523229,0.7237448878235552
7,0.5428040680313898,0.5316580053298704,0.7389112903225806,0:00:25,0:00:03,0.7788472127980767,0.7045312900588541,0.7398276711366027
8,0.5364267242348884,0.5272423355810104,0.7338709677419355,0:00:25,0:00:03,0.7820555691298725,0.6827471022879491,0.7290349534040003
9,0.5202393157423035,0.5166240776738813,0.7379032258064516,0:00:25,0:00:03,0.7716133258365855,0.7088754640612225,0.7389150909626118
10,0.5165807942220987,0.5102682671239299,0.7409274193548387,0:00:25,0:00:03,0.7746661706147527,0.7131334207809791,0.7426273530503471
